"ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50"
2015,"MUNICIPIO","2905206",52531,47515,23419,24096,11425,26247,9843,5652,13163,5281
2015,"MUNICIPIO","2905305",18695,17209,8764,8445,5177,8990,3042,2535,4338,1572
2015,"MUNICIPIO","2905404",17730,15374,7841,7533,4321,9102,1951,2143,4424,966
2015,"MUNICIPIO","2905503",13641,12491,6152,6339,3661,6275,2555,1834,3131,1374
2015,"MUNICIPIO","2905602",33197,31472,15734,15738,9454,15866,6152,4683,8019,3036
2015,"MUNICIPIO","2905701",286919,242970,120704,122266,62414,147095,33461,30290,74648,17328
2015,"MUNICIPIO","2905800",36435,35180,17899,17281,11840,17686,5654,5793,8765,2723
2015,"MUNICIPIO","2905909",29938,28090,14142,13948,8427,14304,5359,4131,7082,2735
2015,"MUNICIPIO","2906006",72271,66616,33464,33152,19562,35085,11969,9674,17343,6135
2015,"MUNICIPIO","2906105",10142,9410,4808,4602,2757,4737,1916,1309,2303,990
2015,"MUNICIPIO","2906204",26382,24067,12126,11941,7101,12499,4467,3470,6155,2316
2015,"MUNICIPIO","2906303",33268,32336,16089,16247,8844,16716,6776,4396,8391,3460
2015,"MUNICIPIO","2906402",9011,8895,4499,4396,2246,4542,2107,1102,2169,1125
2015,"MUNICIPIO","2906501",88806,83158,40314,42844,20578,49181,13399,10103,25450,7291
2015,"MUNICIPIO","2906600",14667,13210,6815,6395,2931,7183,3096,1401,3419,1575
2015,"MUNICIPIO","2906709",26855,27918,14032,13886,7549,14712,5657,3680,7301,2905
2015,"MUNICIPIO","2906808",35235,32908,16560,16348,9841,16646,6421,4822,8217,3309
2015,"MUNICIPIO","2906824",17177,15732,7997,7735,4681,8089,2962,2297,3901,1537
2015,"MUNICIPIO","2906857",12118,11527,5808,5719,2668,5879,2980,1288,2887,1544
2015,"MUNICIPIO","2906873",29346,26577,12998,13579,7137,14371,5069,3473,7389,2717
2015,"MUNICIPIO","2906899",10016,10222,5216,5006,2418,5102,2702,1194,2506,1306
2015,"MUNICIPIO","2906907",22548,21414,10873,10541,6246,11192,3976,3065,5424,2052
2015,"MUNICIPIO","2907004",9747,8899,4502,4397,2914,4689,1296,1429,2319,649
2015,"MUNICIPIO","2907103",29955,28380,14523,13857,8963,14730,4687,4368,7103,2386
2015,"MUNICIPIO","2907202",72172,64940,33091,31849,19103,34501,11336,9356,16660,5833
