"ANO","NIVEL","CODMUNRES","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F"
2010,"MUNICIPIO",2928950,NA,0.64,NA,NA
2010,"MUNICIPIO",2929107,NA,0.616,NA,NA
2010,"MUNICIPIO",2929008,NA,0.639,NA,NA
2010,"MUNICIPIO",2929057,NA,0.639,NA,NA
2010,"MUNICIPIO",2929206,NA,0.674,NA,NA
2010,"MUNICIPIO",2929255,NA,0.592,NA,NA
2010,"MUNICIPIO",2929305,NA,0.627,NA,NA
2010,"MUNICIPIO",2929354,NA,0.546,NA,NA
2010,"MUNICIPIO",2929370,NA,0.552,NA,NA
2010,"MUNICIPIO",2929404,NA,0.593,NA,NA
2010,"MUNICIPIO",2929503,NA,0.657,NA,NA
2010,"MUNICIPIO",2929602,NA,0.614,NA,NA
2010,"MUNICIPIO",2929701,NA,0.527,NA,NA
2010,"MUNICIPIO",2929750,NA,0.617,NA,NA
2010,"MUNICIPIO",2929800,NA,0.549,NA,NA
2010,"MUNICIPIO",2929909,NA,0.635,NA,NA
2010,"MUNICIPIO",2930006,NA,0.615,NA,NA
2010,"MUNICIPIO",2930105,NA,0.666,NA,NA
2010,"MUNICIPIO",2930204,NA,0.585,NA,NA
2010,"MUNICIPIO",2930154,NA,0.595,NA,NA
2010,"MUNICIPIO",2930303,NA,0.608,NA,NA
2010,"MUNICIPIO",2930402,NA,0.566,NA,NA
2010,"MUNICIPIO",2930501,NA,0.634,NA,NA
2010,"MUNICIPIO",2930600,NA,0.59,NA,NA
2010,"MUNICIPIO",2930709,NA,0.675,NA,NA
2010,"MUNICIPIO",2930758,NA,0.564,NA,NA
2010,"MUNICIPIO",2930766,NA,0.533,NA,NA
2010,"MUNICIPIO",2930774,NA,0.631,NA,NA
2010,"MUNICIPIO",2930808,NA,0.592,NA,NA
2010,"MUNICIPIO",2930907,NA,0.584,NA,NA
2010,"MUNICIPIO",2931004,NA,0.577,NA,NA
2010,"MUNICIPIO",2931053,NA,0.599,NA,NA
2010,"MUNICIPIO",2931103,NA,0.597,NA,NA
2010,"MUNICIPIO",2931202,NA,0.566,NA,NA
2010,"MUNICIPIO",2931301,NA,0.594,NA,NA
2010,"MUNICIPIO",2931350,NA,0.685,NA,NA
2010,"MUNICIPIO",2931400,NA,0.594,NA,NA
2010,"MUNICIPIO",2931509,NA,0.566,NA,NA
2010,"MUNICIPIO",2931608,NA,0.555,NA,NA
2010,"MUNICIPIO",2931707,NA,0.578,NA,NA
2010,"MUNICIPIO",2931806,NA,0.528,NA,NA
2010,"MUNICIPIO",2931905,NA,0.579,NA,NA
2010,"MUNICIPIO",2932002,NA,0.605,NA,NA
2010,"MUNICIPIO",2932101,NA,0.582,NA,NA
2010,"MUNICIPIO",2932200,NA,0.611,NA,NA
2010,"MUNICIPIO",2932309,NA,0.593,NA,NA
2010,"MUNICIPIO",2932408,NA,0.617,NA,NA
2010,"MUNICIPIO",2932457,NA,0.515,NA,NA
2010,"MUNICIPIO",2932507,NA,0.56,NA,NA
2010,"MUNICIPIO",2932606,NA,0.598,NA,NA
2010,"MUNICIPIO",2932705,NA,0.616,NA,NA
2010,"MUNICIPIO",2932804,NA,0.59,NA,NA
2010,"MUNICIPIO",2932903,NA,0.623,NA,NA
2010,"MUNICIPIO",2933000,NA,0.637,NA,NA
2010,"MUNICIPIO",2933059,NA,0.539,NA,NA
2010,"MUNICIPIO",2933109,NA,0.575,NA,NA
2010,"MUNICIPIO",2933158,NA,0.555,NA,NA
2010,"MUNICIPIO",2933174,NA,0.586,NA,NA
2010,"MUNICIPIO",2933208,NA,0.645,NA,NA
2010,"MUNICIPIO",2933257,NA,0.577,NA,NA
2010,"MUNICIPIO",2933307,NA,0.678,NA,NA
2010,"MUNICIPIO",2933406,NA,0.587,NA,NA
2010,"MUNICIPIO",2933455,NA,0.6,NA,NA
2010,"MUNICIPIO",2933505,NA,0.544,NA,NA
2010,"MUNICIPIO",2933604,NA,0.585,NA,NA
